"[-0.0722134769316893, 0.643776390272555, 0.491295386767604]","['-0.06525686985491666', ' 0.6446003698420353', ' 0.4632615033375003']","['-0.08448612341865244', ' 0.6782385082836822', ' 0.5039824755708764']","[0.004121255174919958, 0.5446587948886812, 0.45882322343819404]","[0.4809957882858671, 1.1910979762661111, -0.13674966416692091]","[-0.7575495510694927, 0.5103963113553415, -0.188234475022395]","[-0.4345679999763809, 1.306854614217419, 0.9348581700677362]"
"[-0.308565567147614, 0.407870104013319, 0.727153829961394]","['-0.2933783946579136', ' 0.411092442191495', ' 0.7162573395194056']","['-0.3417465955904513', ' 0.41122034319841955', ' 0.7569926244591991']","[-0.0184643356865474, 0.3515695355365571, 0.5952594994821235]","[-0.38652188173127655, -0.5082385107241124, 0.24133328346394983]","[0.2415501764314449, -0.10906767130897066, 1.4439089071632893]","[-0.911171508441183, 0.5718954015962674, 0.9883630691141789]"
"[0.826916358290196, -0.23520767068521, 0.388134209385204]","['0.8268507390237624', ' -0.2199470502799804', ' 0.3640722589205208']","['0.8264163653002454', ' -0.2440894707490811', ' 0.4171550176385909']","[0.7986649611899069, -0.22072928289864271, 0.05910919251716654]","[0.21115725028971932, -1.0298318762564156, 0.07280893903119515]","[1.590185194103217, -0.7988266511409656, -0.13913094902878692]","[0.9669813612276967, -0.3263532681151977, 1.039166927155944]"
"[0.826916358290196, -0.23520767068521, 0.388134209385204]","['0.8268507390237624', ' -0.2199470502799804', ' 0.3640722589205208']","['0.8264163653002454', ' -0.2440894707490811', ' 0.4171550176385909']","[0.8062086634247203, -0.22425553099810402, 0.06769853042396413]","[0.23329029550881009, -1.0438669847249176, 0.0689668459958879]","[1.6154959137442182, -0.7902006541148123, -0.08965541484186228]","[0.9358955562661969, -0.31338006488319115, 1.0552399864068964]"
"[0.826916358290196, -0.23520767068521, 0.388134209385204]","['0.8268507390237624', ' -0.2199470502799804', ' 0.3640722589205208']","['0.8264163653002454', ' -0.2440894707490811', ' 0.4171550176385909']","[0.8095163649059773, -0.2207528983166413, 0.0961685267587966]","[0.23673754612235465, -1.0386255739846473, 0.041316807109415626]","[1.6292255102507314, -0.7921527658261955, 0.056430529221971046]","[0.810674721936782, -0.2884764378410949, 1.093871979896686]"
"[0.826916358290196, -0.23520767068521, 0.388134209385204]","['0.8268507390237624', ' -0.2199470502799804', ' 0.3640722589205208']","['0.8264163653002454', ' -0.2440894707490811', ' 0.4171550176385909']","[0.8043041583246752, -0.2239797665608948, 0.1164263997247856]","[0.23569982544426227, -1.046246371133292, 0.09262002170122377]","[1.6260386026795977, -0.7904044329986047, 0.05385164274055898]","[0.842272771550952, -0.2791225653283598, 1.114182710731518]"
"[0.459772341409182, 0.429330129422672, 0.494555164869711]","['0.45959703434838856', ' 0.43460797688005404', ' 0.4768382435998735']","['0.4592736746458625', ' 0.42695405931422725', ' 0.5301428318548124']","[0.4725794726144891, 0.4259767437386529, 0.3484461007637015]","[0.8678258627685378, -0.4901792227666254, 0.2818237613648693]","[1.3881319001561574, 0.8247640167085075, 0.2961731312686989]","[0.5470378065520166, 0.38564120166907967, 1.3448541499851046]"
"[0.459772341409182, 0.429330129422672, 0.494555164869711]","['0.45959703434838856', ' 0.43460797688005404', ' 0.4768382435998735']","['0.4592736746458625', ' 0.42695405931422725', ' 0.5301428318548124']","[0.4636833131648189, 0.4296619079616405, 0.35186629565004157]","[0.8948652124044996, -0.47130690116662854, 0.30351989199836726]","[1.3638119628522616, 0.8628900660542917, 0.30623980063333184]","[0.5257363854491395, 0.4058172437023696, 1.3496542732316716]"
"[0.459772341409182, 0.429330129422672, 0.494555164869711]","['0.45959703434838856', ' 0.43460797688005404', ' 0.4768382435998735']","['0.4592736746458625', ' 0.42695405931422725', ' 0.5301428318548124']","[0.2722411362067358, 0.4367914658870737, 0.27587181030286434]","[-0.012134666512781667, -0.5119178167204779, 0.4140061649069807]","[0.9530064085951098, 0.135516608874451, -0.39180483631734475]","[0.9472885765674959, 0.3409574550856397, 1.007395422796745]"
"[0.459772341409182, 0.429330129422672, 0.494555164869711]","['0.45959703434838856', ' 0.43460797688005404', ' 0.4768382435998735']","['0.4592736746458625', ' 0.42695405931422725', ' 0.5301428318548124']","[0.5982457456376931, 0.46502185163755183, 0.25143447221432247]","[0.13093050930698236, -0.3484219119938182, -0.09486844908782976]","[1.3736956232007465, -0.10024155316103955, 0.5327790484601607]","[0.17363538627205244, 0.3279579008527578, 1.1463755407292533]"
